Key|Canonical Key|HD Row|BXP|XP/HP|S Abilities|S Basis|S Award Units|E Abilities|E Basis|E Award Units|Adjustment|Appendix E XP|Chosen XP|Status|Decision
djinni_noble||9+1--10+|900|14|2|stronger whirlwind; minor magic use|2|0|none|0|derived MM subtype|group listing only|1800 + 14/hp|derived|Use the noble's stated 10 HD and the same two Special packages as an ordinary djinni; wishes are granted to its master and add no routine combat award.
dog_war||2+1--3|35|3|0|none|0|0|none|0|none|35 + 3/hp|35 + 3/hp|confirmed|No qualifying abilities.
dog_wild||1+1--2|20|2|0|none|0|0|none|0|none|20 + 2/hp|20 + 2/hp|confirmed|No qualifying abilities.
dolphin||2+1--3|35|3|2|very intelligence affecting combat; saves as a 4th-level fighter|2|0|none|0|none|65 + 3/hp|65 + 3/hp|confirmed|Combat-relevant intelligence and improved saving throws earn two Special awards.
swordfish||1+1--2|20|2|0|none|0|0|none|0|derived MM associate|not listed|20 + 2/hp|derived|No qualifying abilities.
narwhale||4+1--5|90|5|0|none|0|0|none|0|derived MM associate|not listed|90 + 5/hp|derived|Its single attack reaches exactly 24 maximum damage; the p. 85 threshold requires greater than 24, so it earns no Exceptional award.
doppleganger||3+1--4|60|4|3|mutable form; surprise; very intelligence affecting combat|3|3|ESP; immunity to sleep and charm; saves as a 10th-level fighter|3|none|330 + 4/hp|330 + 4/hp|confirmed|Three Special and three Exceptional awards reproduce the published subtotal and map to its listed attack, defense, and intelligence packages.
dragon_black_small||5+1--6|150|6|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|550 + 6/hp|derived|Use the approved representative 2S and 2E dragon package for the 6-HD size.
dragon_black_average||6+1--7|225|8|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|825 + 8/hp|derived|Use the approved representative 2S and 2E dragon package for the 7-HD size.
dragon_black_huge||7+1--8|375|10|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|1275 + 10/hp|derived|Use the approved representative 2S and 2E dragon package for the 8-HD size.
dragon_blue_small||7+1--8|375|10|2|shared dragon fear and saving-throw defenses; very intelligence package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|1275 + 10/hp|derived|Use the approved representative 2S and 2E dragon package for the 8-HD size.
dragon_blue_average||8+1--9|600|12|2|shared dragon fear and saving-throw defenses; very intelligence package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|2000 + 12/hp|derived|Use the approved representative 2S and 2E dragon package for the 9-HD size.
dragon_blue_huge||9+1--10+|900|14|2|shared dragon fear and saving-throw defenses; very intelligence package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|3000 + 14/hp|derived|Use the approved representative 2S and 2E dragon package for the 10-HD size.
dragon_brass_small||5+1--6|150|6|3|shared dragon fear and saving-throw defenses; high intelligence; minor magic package|3|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|625 + 6/hp|derived|Use the approved representative 3S and 2E dragon package for the 6-HD size.
dragon_brass_average||6+1--7|225|8|3|shared dragon fear and saving-throw defenses; high intelligence; minor magic package|3|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|950 + 8/hp|derived|Use the approved representative 3S and 2E dragon package for the 7-HD size.
dragon_brass_huge||7+1--8|375|10|3|shared dragon fear and saving-throw defenses; high intelligence; minor magic package|3|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|1450 + 10/hp|derived|Use the approved representative 3S and 2E dragon package for the 8-HD size.
dragon_bronze_small||7+1--8|375|10|4|armor class 0; shared dragon fear and saving-throw defenses; exceptional intelligence; minor magic package|4|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|1625 + 10/hp|derived|Use the approved representative 4S and 2E dragon package for the 8-HD size.
dragon_bronze_average||8+1--9|600|12|4|armor class 0; shared dragon fear and saving-throw defenses; exceptional intelligence; minor magic package|4|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|2600 + 12/hp|derived|Use the approved representative 4S and 2E dragon package for the 9-HD size.
dragon_bronze_huge||9+1--10+|900|14|4|armor class 0; shared dragon fear and saving-throw defenses; exceptional intelligence; minor magic package|4|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|3900 + 14/hp|derived|Use the approved representative 4S and 2E dragon package for the 10-HD size.
dragon_chromatic||15--16+|2400|20|0|unresolved extraordinary packages|0|0|unresolved extraordinary packages|0|fixed 128 hp; restore MM's combined HD and hp notation; preserve approved published fixed-total formula|63580 fixed|61020 + 20/hp|override|The MM explicitly gives 16 HD and 128 hit points. Preserve the approved 61020 + 20/hp formula, which reproduces the DMG's fixed 63580 total but cannot be decomposed into whole 15--16+ Special and Exceptional awards.
dragon_copper_small||6+1--7|225|8|3|shared dragon fear and saving-throw defenses; high intelligence; minor magic package|3|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|950 + 8/hp|derived|Use the approved representative 3S and 2E dragon package for the 7-HD size.
dragon_copper_average||7+1--8|375|10|3|shared dragon fear and saving-throw defenses; high intelligence; minor magic package|3|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|1450 + 10/hp|derived|Use the approved representative 3S and 2E dragon package for the 8-HD size.
dragon_copper_huge||8+1--9|600|12|3|shared dragon fear and saving-throw defenses; high intelligence; minor magic package|3|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|2300 + 12/hp|derived|Use the approved representative 3S and 2E dragon package for the 9-HD size.
dragon_gold_small||9+1--10+|900|14|4|armor class -2; shared dragon fear and saving-throw defenses; genius intelligence; polymorph and minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|damage corrected to 6--36|variables preclude fixed number|4500 + 14/hp|derived|Use the approved representative 4S and 3E dragon package for the 10-HD size and the MM's 6--36 bite damage.
dragon_gold_average||11--12+|1300|16|4|armor class -2; shared dragon fear and saving-throw defenses; genius intelligence; polymorph and minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|damage corrected to 6--36|variables preclude fixed number|6650 + 16/hp|derived|Use the approved representative 4S and 3E dragon package for the 11-HD size and the MM's 6--36 bite damage.
dragon_gold_huge||11--12+|1300|16|4|armor class -2; shared dragon fear and saving-throw defenses; genius intelligence; polymorph and minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|damage corrected to 6--36|variables preclude fixed number|6650 + 16/hp|derived|Use the approved representative 4S and 3E dragon package for the 12-HD size and the MM's 6--36 bite damage.
dragon_green_small||6+1--7|225|8|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|825 + 8/hp|derived|Use the approved representative 2S and 2E dragon package for the 7-HD size.
dragon_green_average||7+1--8|375|10|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|1275 + 10/hp|derived|Use the approved representative 2S and 2E dragon package for the 8-HD size.
dragon_green_huge||8+1--9|600|12|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|2000 + 12/hp|derived|Use the approved representative 2S and 2E dragon package for the 9-HD size.
dragon_platinum||21+|5000|35|2|armor class -3; supra-genius combat intelligence|2|7|three breath weapons; spell use; shapechanging; astral and ethereal travel; extraordinary damage and saving penalties|14|fixed 168 hp; extraordinary ability packages; restore MM's combined HD and hp notation|58080 fixed|52200 + 35/hp|corrected|The MM explicitly gives 21 HD and 168 hit points. Two Special and fourteen Exceptional award units reproduce the published fixed total while reflecting the extraordinary breath, magic, travel, and transformation packages.
dragon_red_small||8+1--9|600|12|4|armor class -1; shared dragon fear and saving-throw defenses; exceptional intelligence; minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|derived size summary|variables preclude fixed number|3000 + 12/hp|derived|Use the approved representative 4S and 3E dragon package for the 9-HD size.
dragon_red_average||9+1--10+|900|14|4|armor class -1; shared dragon fear and saving-throw defenses; exceptional intelligence; minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|derived size summary|variables preclude fixed number|4500 + 14/hp|derived|Use the approved representative 4S and 3E dragon package for the 10-HD size.
dragon_red_huge||11--12+|1300|16|4|armor class -1; shared dragon fear and saving-throw defenses; exceptional intelligence; minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|derived size summary|variables preclude fixed number|6650 + 16/hp|derived|Use the approved representative 4S and 3E dragon package for the 11-HD size.
dragon_silver_small||8+1--9|600|12|4|armor class -1; shared dragon fear and saving-throw defenses; exceptional intelligence; polymorph and minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|derived size summary|variables preclude fixed number|3000 + 12/hp|derived|Use the approved representative 4S and 3E dragon package for the 9-HD size.
dragon_silver_average||9+1--10+|900|14|4|armor class -1; shared dragon fear and saving-throw defenses; exceptional intelligence; polymorph and minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|derived size summary|variables preclude fixed number|4500 + 14/hp|derived|Use the approved representative 4S and 3E dragon package for the 10-HD size.
dragon_silver_huge||11--12+|1300|16|4|armor class -1; shared dragon fear and saving-throw defenses; exceptional intelligence; polymorph and minor magic package|4|3|breath weapon; major spell use; maximum damage package|3|derived size summary|variables preclude fixed number|6650 + 16/hp|derived|Use the approved representative 4S and 3E dragon package for the 11-HD size.
dragon_white_small||4+1--5|90|5|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|320 + 5/hp|derived|Use the approved representative 2S and 2E dragon package for the 5-HD size.
dragon_white_average||5+1--6|150|6|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|550 + 6/hp|derived|Use the approved representative 2S and 2E dragon package for the 6-HD size.
dragon_white_huge||6+1--7|225|8|2|shared dragon fear and saving-throw defenses; representative minor magic package|2|2|breath weapon; representative attack and spell package|2|derived size summary|variables preclude fixed number|825 + 8/hp|derived|Use the approved representative 2S and 2E dragon package for the 7-HD size.
dragonne||8+1--9|600|12|0|none|0|2|roar causes weakness; roar causes deafness|2|correct XP/HP rate from 14 to 12|1400 + 14/hp|1400 + 12/hp|corrected|Two Exceptional roar effects reproduce the subtotal; use the actual 9-HD row's 12 XP per hit point.
dragon_turtle_small||11--12+|1300|16|2|armor class 0; very intelligence affecting combat|2|3|breath weapon; capsizing ships; maximum damage 56 trebly|3|derived 12-HD form|group listing 7300 + 18/hp|5250 + 16/hp|derived|Use the 12-HD row with the shared 2S and 3E dragon-turtle package.
dragon_turtle_average||13--14+|1800|18|2|armor class 0; very intelligence affecting combat|2|3|breath weapon; capsizing ships; maximum damage 56 trebly|3|derived 13-HD form|7300 + 18/hp|7300 + 18/hp|confirmed|Two Special and three Exceptional awards reproduce the published group subtotal.
dragon_turtle_huge||13--14+|1800|18|2|armor class 0; very intelligence affecting combat|2|3|breath weapon; capsizing ships; maximum damage 56 trebly|3|derived 14-HD form|7300 + 18/hp|7300 + 18/hp|derived|Use the same row and ability package as the 13-HD form.
dryad||1+1--2|20|2|1|minor defensive magic|1|1|charm|1|DMG 105 does not fit the MM's 2 HD|105 + 3/hp|73 + 2/hp|corrected|Use the literal 2-HD row. One Special and one Exceptional award give 73 + 2/hp; the DMG's 105 uses the next row.
dwarf||1-1--1|10|1|1|improved saving throws|1|0|none|0|none|14 + 1/hp|14 + 1/hp|confirmed|The material saving-throw bonus earns one Special; racial attack and defense modifiers are part of ordinary combat balance.
dwarf_mountain||1+1--2|20|2|1|improved saving throws|1|0|none|0|same ability package as ordinary dwarf|28 + 2/hp|28 + 2/hp|confirmed|Only the HD row differs from the ordinary dwarf; the saving-throw bonus earns the same one Special award.
eagle_giant||3+1--4|60|4|1|reviewed Special portion of MM package: Diving (+4 to hit, 2\x2--12); Eyesight|1|1|reviewed Exceptional portion of MM package: Diving (+4 to hit, 2\x2--12); Eyesight|1|none|150+4/hp|150+4/hp|confirmed|Diving is Special; the extraordinary eyesight package supplies the Exceptional award.
ear_seeker||up to 1-1|5|1|0|none|0|1|reviewed Exceptional portion of MM package: S (about \sfrac{1}{8}" long)|1|none|30+1/hp|30+1/hp|confirmed|The lethal infestation is Exceptional; use the literal sub-1-HD row rather than Appendix E nil XP.
eel_electric||1+1--2|20|2|0|none|0|1|reviewed Exceptional portion of MM package: Jolt (1, 2, or 3D8)|1|none|65+2/hp|65+2/hp|confirmed|The variable electrical jolt is Exceptional.
eel_giant||4+1--5|90|5|0|none|0|0|none|0|none|90+5/hp|90+5/hp|confirmed|Use the literal 5-HD base value; the published Giant and Weed values were crossed.
eel_weed||1-1--1|10|1|1|reviewed Special portion of MM package: Poison; Camouflage|1|1|reviewed Exceptional portion of MM package: Poison; Camouflage|1|none|49+1/hp|49+1/hp|confirmed|Camouflage is Special and poison is Exceptional; 1-1 HD belongs to the 1-1-to-1 row.
efreeti||9+1--10+|900|14|1|reviewed Special portion of MM package: Magic use; Resist fire damage|1|1|reviewed Exceptional portion of MM package: Magic use; Resist fire damage|1|none|1950+14/hp|1950+14/hp|confirmed|Fire resistance is Special and spell use is Exceptional.
elemental_air||11--12+|1300|16|1|reviewed Special portion of MM package: Whirlwind; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Whirlwind; Hit only by +2 weapons|1|none|2850+16/hp|2850+16/hp|confirmed|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_air_8hd|elemental_air|7+1--8|375|10|1|reviewed Special portion of MM package: Whirlwind; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Whirlwind; Hit only by +2 weapons|1|none|not separately listed|825+10/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_air_12hd|elemental_air|11--12+|1300|16|1|reviewed Special portion of MM package: Whirlwind; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Whirlwind; Hit only by +2 weapons|1|none|not separately listed|2850+16/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_air_16hd|elemental_air|15--16+|2400|20|1|reviewed Special portion of MM package: Whirlwind; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Whirlwind; Hit only by +2 weapons|1|none|not separately listed|5250+20/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_earth||11--12+|1300|16|1|reviewed Special portion of MM package: Full damage on land; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Full damage on land; Hit only by +2 weapons|1|none|2850+16/hp|2850+16/hp|confirmed|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_earth_8hd|elemental_earth|7+1--8|375|10|1|reviewed Special portion of MM package: Full damage on land; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Full damage on land; Hit only by +2 weapons|1|none|not separately listed|825+10/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_earth_12hd|elemental_earth|11--12+|1300|16|1|reviewed Special portion of MM package: Full damage on land; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Full damage on land; Hit only by +2 weapons|1|none|not separately listed|2850+16/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_earth_16hd|elemental_earth|15--16+|2400|20|1|reviewed Special portion of MM package: Full damage on land; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Full damage on land; Hit only by +2 weapons|1|none|not separately listed|5250+20/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_fire||11--12+|1300|16|1|reviewed Special portion of MM package: Burn inflammables; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Burn inflammables; Hit only by +2 weapons|1|none|2850+16/hp|2850+16/hp|confirmed|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_fire_8hd|elemental_fire|7+1--8|375|10|1|reviewed Special portion of MM package: Burn inflammables; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Burn inflammables; Hit only by +2 weapons|1|none|not separately listed|825+10/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_fire_12hd|elemental_fire|11--12+|1300|16|1|reviewed Special portion of MM package: Burn inflammables; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Burn inflammables; Hit only by +2 weapons|1|none|not separately listed|2850+16/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_fire_16hd|elemental_fire|15--16+|2400|20|1|reviewed Special portion of MM package: Burn inflammables; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Burn inflammables; Hit only by +2 weapons|1|none|not separately listed|5250+20/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_water||11--12+|1300|16|1|reviewed Special portion of MM package: Affect seacraft; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Affect seacraft; Hit only by +2 weapons|1|none|2850+16/hp|2850+16/hp|confirmed|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_water_8hd|elemental_water|7+1--8|375|10|1|reviewed Special portion of MM package: Affect seacraft; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Affect seacraft; Hit only by +2 weapons|1|none|not separately listed|825+10/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_water_12hd|elemental_water|11--12+|1300|16|1|reviewed Special portion of MM package: Affect seacraft; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Affect seacraft; Hit only by +2 weapons|1|none|not separately listed|2850+16/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elemental_water_16hd|elemental_water|15--16+|2400|20|1|reviewed Special portion of MM package: Affect seacraft; Hit only by +2 weapons|1|1|reviewed Exceptional portion of MM package: Affect seacraft; Hit only by +2 weapons|1|none|not separately listed|5250+20/hp|derived/alias|One elemental combat feature is Special and +2-weapon immunity is Exceptional; generic rows use the 12-HD middle form.
elephant||9+1--10+|900|14|0|none|0|1|reviewed Exceptional portion of MM package: L (9'+ tall)|1|none|1500+14/hp|1500+14/hp|confirmed|Maximum routine damage earns one Exceptional award; Loxodont is retained as an alias.
elephant_asiatic||9+1--10+|900|14|0|none|0|1|reviewed Exceptional portion of MM package: L (9'+ tall)|1|none|1500+14/hp|1500+14/hp|confirmed|Maximum routine damage earns one Exceptional award; Loxodont is retained as an alias.
elephant_african||11--12+|1300|16|0|none|0|1|reviewed Exceptional portion of MM package: L (11'+ tall)|1|none|2150+16/hp|2150+16/hp|confirmed|Maximum routine damage earns one Exceptional award; Loxodont is retained as an alias.
loxodont|elephant_african|11--12+|1300|16|0|none|0|1|reviewed Exceptional portion of MM package: L (11'+ tall)|1|none|not separately listed|2150+16/hp|derived/alias|Maximum routine damage earns one Exceptional award; Loxodont is retained as an alias.
elf||1+1--2|20|2|3|reviewed Special portion of MM package: +1 to hit with bow or sword, surprise \sfrac{2}{3}; 90\% resistance to charm and sleep|3|0|none|0|none|44+2/hp|44+2/hp|confirmed|Bow/sword accuracy, improved surprise, and charm/sleep resistance are three Special awards.
ettin||9+1--10+|900|14|1|reviewed Special portion of MM package: Surprised only on a 1|1|1|reviewed Exceptional portion of MM package: Surprised only on a 1|1|none|1950+14/hp|1950+14/hp|confirmed|All-around awareness is Special; maximum routine damage over 30 doubly is Exceptional.
eye_floating||up to 1-1|5|1|0|none|0|1|reviewed Exceptional portion of MM package: Hypnotism|1|none|30+1/hp|30+1/hp|confirmed|Hypnosis is Exceptional.
eye_of_the_deep||11--12+|1300|16|1|reviewed Special portion of MM package: Stunning, magic use|1|2|reviewed Exceptional portion of MM package: Stunning, magic use|2|none|3700+16/hp|3700+16/hp|confirmed|The reviewed package uses one Special plus Exceptional awards for stunning and spell use.
eye_of_the_deep_10hd||9+1--10+|900|14|1|reviewed Special portion of MM package: Stunning, magic use|1|2|reviewed Exceptional portion of MM package: Stunning, magic use|2|none|2550+14/hp|2550+14/hp|confirmed|The reviewed package uses one Special plus Exceptional awards for stunning and spell use.
eye_of_the_deep_11hd||11--12+|1300|16|1|reviewed Special portion of MM package: Stunning, magic use|1|2|reviewed Exceptional portion of MM package: Stunning, magic use|2|none|3700+16/hp|3700+16/hp|confirmed|The reviewed package uses one Special plus Exceptional awards for stunning and spell use.
eye_of_the_deep_12hd||11--12+|1300|16|1|reviewed Special portion of MM package: Stunning, magic use|1|2|reviewed Exceptional portion of MM package: Stunning, magic use|2|none|3700+16/hp|3700+16/hp|confirmed|The reviewed package uses one Special plus Exceptional awards for stunning and spell use.
flightless_bird||1+1--2|20|2|0|none|0|0|none|0|none|20+2/hp|20+2/hp|confirmed|Use the literal HD base value; the generic row represents the middle 2-HD form.
flightless_bird_1hd|flightless_bird|1-1--1|10|1|0|none|0|0|none|0|none|not separately listed|10+1/hp|derived/alias|Use the literal HD base value; the generic row represents the middle 2-HD form.
flightless_bird_2hd|flightless_bird|1+1--2|20|2|0|none|0|0|none|0|none|not separately listed|20+2/hp|derived/alias|Use the literal HD base value; the generic row represents the middle 2-HD form.
flightless_bird_3hd|flightless_bird|2+1--3|35|3|0|none|0|0|none|0|none|not separately listed|35+3/hp|derived/alias|Use the literal HD base value; the generic row represents the middle 2-HD form.
ostrich|flightless_bird_3hd|2+1--3|35|3|0|none|0|0|none|0|none|not separately listed|35+3/hp|derived/alias|Use the literal HD base value; the generic row represents the middle 2-HD form.
emu|flightless_bird_2hd|1+1--2|20|2|0|none|0|0|none|0|none|not separately listed|20+2/hp|derived/alias|Use the literal HD base value; the generic row represents the middle 2-HD form.
rhea|flightless_bird_1hd|1-1--1|10|1|0|none|0|0|none|0|none|not separately listed|10+1/hp|derived/alias|Use the literal HD base value; the generic row represents the middle 2-HD form.
fungus_violet||2+1--3|35|3|1|reviewed Special portion of MM package: Rotting poison|1|1|reviewed Exceptional portion of MM package: Rotting poison|1|none|105+3/hp|105+3/hp|confirmed|Multiple attacks are Special and the rotting effect is Exceptional.
frog_giant||1+1--2|20|2|0|none|0|1|reviewed Exceptional portion of MM package: Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|1|none|65+2/hp|65+2/hp|confirmed|Surprise and tongue are treated as one combined Exceptional package; variants use their literal HD rows.
frog_giant_1hd|frog_giant|1-1--1|10|1|0|none|0|1|reviewed Exceptional portion of MM package: Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|1|none|not separately listed|45+1/hp|derived/alias|Surprise and tongue are treated as one combined Exceptional package; variants use their literal HD rows.
frog_giant_2hd|frog_giant|1+1--2|20|2|0|none|0|1|reviewed Exceptional portion of MM package: Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|1|none|not separately listed|65+2/hp|derived/alias|Surprise and tongue are treated as one combined Exceptional package; variants use their literal HD rows.
frog_giant_3hd|frog_giant|2+1--3|35|3|0|none|0|1|reviewed Exceptional portion of MM package: Surprise on 1--4; Tongue attack +4 to pull opponent in and do max damage|1|none|not separately listed|90+3/hp|derived/alias|Surprise and tongue are treated as one combined Exceptional package; variants use their literal HD rows.
frog_killer||1+1--2|20|2|2|reviewed Special portion of MM package: Surprise on 1--4; jump|2|0|none|0|none|36+2/hp|36+2/hp|confirmed|Improved surprise and the leaping attack are two Special awards.
frog_poisonous||1-1--1|10|1|0|none|0|1|reviewed Exceptional portion of MM package: Poison (\+4 on save)|1|none|45+1/hp|45+1/hp|confirmed|Even the weak poison earns one Exceptional award.
gar_giant||7+1--8|375|10|0|none|0|1|reviewed Exceptional portion of MM package: Swallow whole|1|none|650+10/hp|650+10/hp|confirmed|Swallowing whole is Exceptional.
gargoyle||4+1--5|90|5|2|reviewed Special portion of MM package: +1 or better weapon to hit|2|0|none|0|none|170+5/hp|170+5/hp|confirmed|Four attacks and magic-weapon immunity are the DMG page 85 double-Special example.
gas_spore||up to 1-1|5|1|1|reviewed Special portion of MM package: Touch causes infestation; Explodes for 6--36 when struck|1|1|reviewed Exceptional portion of MM package: Touch causes infestation; Explodes for 6--36 when struck|1|none|33|33|confirmed|Infestation and the explosive defense reproduce the fixed 33-XP award on the sub-1-HD row.
gelatinous_cube||3+1--4|60|4|1|reviewed Special portion of MM package: Paralyzation, surprise on 1--3; Immune to electricity, fear, hold, paralyzation, polymorph and sleep|1|1|reviewed Exceptional portion of MM package: Paralyzation, surprise on 1--3; Immune to electricity, fear, hold, paralyzation, polymorph and sleep|1|none|150+4/hp|150+4/hp|confirmed|Surprise is Special; paralysis and broad immunities form the Exceptional package.
ghast||3+1--4|60|4|0|none|0|2|reviewed Exceptional portion of MM package: Nausea, paralyzation; Immune to sleep and charm|2|none|190+4/hp|190+4/hp|confirmed|Nausea/paralysis and undead immunities receive two Exceptional awards.
ghost||9+1--10+|900|14|3|reviewed Special portion of MM package: Age 10 years and panic, age 10--40 years per touch, magic jar; Ethereal versus weapons and spells; silver does half damage|3|3|reviewed Exceptional portion of MM package: Age 10 years and panic, age 10--40 years per touch, magic jar; Ethereal versus weapons and spells; silver does half damage|3|none|4050+14/hp|4050+14/hp|confirmed|The age/panic, magic jar, and ethereal/weapon-defense package is represented by three Special and three Exceptional awards.
ghoul||1+1--2|20|2|0|none|0|1|reviewed Exceptional portion of MM package: Paralyzation; Immune to sleep and charm|1|none|65+2/hp|65+2/hp|confirmed|Paralysis and undead immunities are one Exceptional package.
giant_cloud||11--12+|1300|16|3|reviewed Special portion of MM package: Hurl rocks (2--24); Surprised only on 1|3|1|reviewed Exceptional portion of MM package: Hurl rocks (2--24); Surprised only on 1|1|none|4250+16/hp|4250+16/hp|confirmed|Rock hurling, limited surprise, and combat intelligence are Special; maximum damage is Exceptional.
giant_fire||11--12+|1300|16|2|reviewed Special portion of MM package: Hurl rocks (2--20); Impervious to fire|2|0|none|0|none|2700+16/hp|2700+16/hp|confirmed|Rock hurling and fire immunity are Special.
giant_frost||9+1--10+|900|14|3|reviewed Special portion of MM package: Hurl rocks (2--20); Impervious to cold|3|0|none|0|none|2250+14/hp|2250+14/hp|confirmed|Rock hurling, cold immunity, and the remaining combat edge reproduce three Specials.
giant_hill||8+1--9|600|12|2|reviewed Special portion of MM package: Hurl rocks (2--16); Catch similar missiles 30\%|2|0|none|0|none|1200+12/hp|1200+12/hp|confirmed|Rock hurling and missile catching are Special.
giant_stone||9+1--10+|900|14|2|reviewed Special portion of MM package: Hurl rocks (3--30); Camouflage, catch similar missiles 90\%|2|0|none|0|none|1800+14/hp|1800+14/hp|confirmed|Rock hurling and camouflage/missile catching are two Special awards.
giant_storm||15--16+|2400|20|1|reviewed Special portion of MM package: Magic use; Impervious to electricity|1|2|reviewed Exceptional portion of MM package: Magic use; Impervious to electricity|2|none|6850+20/hp|6850+20/hp|confirmed|Electricity immunity is Special; spell use and maximum damage are Exceptional; no rock-hurling award.
gnoll||1+1--2|20|2|1|reviewed Special portion of MM package: L (7'+ tall)|1|0|none|0|none|28+2/hp|28+2/hp|confirmed|Retain one Special for the gnoll combat package; fixed-hp leaders remain on the same 2-HD row.
