Key|Singular|Plural|Category|THACO|AC|MV|HD|#AT|Damage (long)|Damage (short)|SA|SD|MR|Special|Size|Int|Alignment|Psionic|Attack/Defense Modes|Frequency|No. Appearing|% in Lair|Treasure Type|Level|XP
dinichtys|Dinichtys||Dinosaur|10|7|21"|10|1|5--20|5--20|Swallowing whole|Nil|Standard|Swallowing whole|L (25'+ long)|Non-|Neutral|Nil|Nil|Common|1--4|Nil|Nil|VII|1500\+14/hp
diplodocus|Diplodocus||Dinosaur|7|6|6"|24|1|3--18|3--18|Step on (3--30)|Nil|Standard|Step on (3--30)|L (80' long)|Non-|Neutral|Nil|Nil|Common|1--6|Nil|Nil|VIII|5000\+35/hp
elasmosaurus|Elasmosaurus||Dinosaur|8|7|15"|15|1|4--24|4--24|Nil|Nil|Standard||L (50' long)|Non-|Neutral|Nil|Nil|Uncommon|1--2|Nil|Nil|VII|2400\+20/hp
gorgosaurus|Gorgosaurus||Dinosaur|9|5|15"|13|3|1--3\?1--3\?7--28|2\x1--3\?7--28|Nil|Nil|Standard||L (30' long)|Non-|Neutral|Nil|Nil|Uncommon|1--2|Nil|Nil|VII|1800\+18/hp
iguanadon|Iguanadon||Dinosaur|13|4|15"|6|3|1--3\?1--3\?2--8|2\x1--3\?2--8|Nil|Nil|Standard||L (30' long)|Non-|Neutral|Nil|Nil|Common|3--18|Nil|Nil|III|150\+6/hp
lambeosaurus|Lambeosaurus||Dinosaur|9|6|12"|12|1|2--12|2--12|Nil|Nil|Standard||L (20'+ long)|Non-|Neutral|Nil|Nil|Common|2--16|Nil|Nil|VII|1300\+16/hp
megalosaurus|Megalosaurus||Dinosaur|9|5|12"|12|1|3--18|3--18|Nil|Nil|Standard||L (25' long)|Non-|Neutral|Nil|Nil|Uncommon|1--2|Nil|Nil|VII|1300\+16/hp
monoclonius|Monoclonius||Dinosaur|12|3\,(4)|6"|8|1|2--16|2--16|Charge/trample (2--16)|Nil|Standard|Charge/trample (2--16)|L (18' long)|Non-|Neutral|Nil|Nil|Common|2--12|Nil|Nil|VI|550\+8/hp
mosasaurus|Mosasaurus||Dinosaur|9|7|3"//15"|12|1|4--32|4--32|Nil|Nil|Standard||L (50' long)|Non-|Neutral|Nil|Nil|Uncommon|1--3|Nil|Nil|VII|1300\+18/hp
paleoscincus|Paleoscincus||Dinosaur|12|-3|3"|9|1|2--12|2--12|Nil|Biting inflicts 3--12 hp on attacker|Standard|(3--12) if bitten|L (20' long)|Non-|Neutral|Nil|Nil|Uncommon|1--4|Nil|Nil|VII|1300\+12/hp
pentaceratops|Pentaceratops||Dinosaur|9|2\,(6)|9"|12|3|1--6\?1--10\?1--10|1--6\?2\x1--10|Charge/trample (2--20)|Nil|Standard|Charge/trample (2--20)|L (20'+ long)|Non-|Neutral|Nil|Nil|Common|2--12|Nil|Nil|VII|1300\+18/hp
plateosaurus|Plateosaurus||Dinosaur|12|5|12"|8|Nil|Nil|Nil|Nil|Nil|Standard||L (20'+ long)|Non-|Neutral|Nil|Nil|Common|5--20|Nil|Nil|V|375\+10/hp
plesiosaurus|Plesiosaurus||Dinosaur|7|7|15"|20|1|5--20|5--20|Flippers in water (2--12\?2--12)|Nil|Standard|Flippers in water (2--12\?2--12)|L (50'+ long)|Non-|Neutral|Nil|Nil|Common|1--3|Nil|Nil|VIII|4000\+30/hp
pteranodon|Pteranodon||Dinosaur|16|7|3"/15"|3+3|1|2--8|2--8|Nil|Nil|Standard||L (30' wing spread)|Non-|Neutral|Nil|Nil|Common|3--18|Nil|Nil|III|85\+4/hp
stegosaurus|Stegosaurus||Dinosaur|7|2\,(5)|6"|18|1|5--20|5--20|Nil|Nil|Standard||L (25' long, 8'+ high)|Non-|Neutral|Nil|Nil|Common|2--8|Nil|Nil|VII|3000\+25/hp
styracosaurus|Styracosaurus||Dinosaur|10|2\,(4)|6"|10|1|2--16|2--16|Charge/trample (2--16)|Biting inflicts 1--6 to 3--18 hp|Standard|Charge/trample (2--16); 3\x1--6 if bitten|L (18' long)|Non-|Neutral|Nil|Nil|Common|2--8|Nil|Nil|VII|1950\+14/hp
teratosaurus|Teratosaurus||Dinosaur|10|5|18"|10|3|1--3\?1--3\?3--18|2\x1--3\?3--18|Nil|Nil|Standard||L (20' long, 9' tall)|Non-|Neutral|Nil|Nil|Uncommon|1--3|Nil|Nil|VI|900\+14/hp
triceratops|Triceratops||Dinosaur|7|2\,(6)|9"|16|3|1--8\?1--12\?1--12|1--8\?2\x1--12|Charge/trample (2--24)|Nil|Standard|Charge/trample (2--24)|L (24' long)|Non-|Neutral|Nil|Nil|Common|2--8|Nil|Nil|VIII|4000\+20/hp
tyrannosaurus_rex|Tyrannosaurus Rex||Dinosaur|7|5|15"|18|3|1--6\?1--6\?5--40|2\x1--6\?5--40|Swallowing whole|Nil|Standard|Swallowing whole|L (50' long, 20' high)|Non-|Neutral|Nil|Nil|Uncommon|1--2|Nil|Nil|IX|6550\+25/hp
displacer_beast|Displacer Beast|||13|4|15"|6|2|2--8\?2--8|2\x2--8|Nil|-2 on opponent's attack dice, save as Fighter 12 +2 on die|Special|opponents -2 to hit, save as Fighter 12 +2|L|Semi-|Neutral|Nil|Nil|Very rare|2--5|25\%|D|V|475\+8/hp
djinni|Djinni|Djinn||13|4|9"/24"|7+3|1|2--16|2--16|Whirlwind, magic use|Nil|Standard|Whirlwind, magic use|L (10\half' tall)|Average-high|Chaotic Good|Nil|Nil|Very rare|1|Nil|Nil|VI|725\+10/hp
djinni_noble|Noble Djinni|Noble Djinn||10|4|9"/24"|10|1|3--24|3--24|Whirlwind, magic use|Nil|Standard|Whirlwind, magic use|L (10\half' tall)|Average-high|Chaotic Good|Nil|Nil|Very rare|1|Nil|Nil|VII|1800\+14/hp
dog_war|War Dog||Dog|16|6|12"|2+2|1|2--8|2--8|Nil|Nil|Standard||M|Semi-|Neutral|Nil|Nil|Uncommon|1--4|Nil|Nil|II|35\+3/hp
dog_wild|Wild Dog||Dog|18|7|15"|1+1|1|1--4|1--4|Nil|Nil|Standard||S|Semi-|Neutral|Nil|Nil|Common|4--16|Nil|Nil|I|20\+2/hp
dolphin|Dolphin|||16|5|30"|2+2|1|2--8|2--8|Nil|Save as 4th level fighter|Standard|Save as Fighter 4|M|Very|Lawful Good|Nil|Nil|Uncommon|2--20|Nil|Nil|III|65\+3/hp
swordfish|Swordfish|Swordfishes||18|6|24"|1+1|1|2--12|2--12|Nil|Nil|Standard||L|Average|Neutral|Nil|Nil|Uncommon|2--5|Nil|Nil|I|20\+2/hp
narwhale|Narwhale|||15|6|21"|4+4|1|2--24|2--24|Nil|Nil|Standard||L|Average|Neutral|Nil|Nil|Uncommon|1--3|Nil|Nil|III|90\+5/hp
doppleganger|Doppleganger|||15|5|9"|4|1|1--12|1--12|Mutable form, surprise|ESP, immune to sleep and charm, save as 10th level ftr.|Special|Mutable form, surprise, ESP, sleep/charp immunity, save as Fighter 10|M|Very|Neutral|Nil|Nil|Very rare|3--12|20\%|E|V|330\+4/hp
dragon_black_small|Black Dragon||Dragon|13|3|12"/24"|6|3|1--4\?1--4\?3--18|2\x1--4\?3--18|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (30' long)|Average|Chaotic Evil|Nil|Nil|Uncommon|1--4|30\%|H|VI|550\+6/hp
dragon_black_average|Black Dragon||Dragon|13|3|12"/24"|7|3|1--4\?1--4\?3--18|2\x1--4\?3--18|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (30' long)|Average|Chaotic Evil|Nil|Nil|Uncommon|1--4|30\%|H|VI|825\+8/hp
dragon_black_huge|Black Dragon||Dragon|12|3|12"/24"|8|3|1--4\?1--4\?3--18|2\x1--4\?3--18|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (30' long)|Average|Chaotic Evil|Nil|Nil|Uncommon|1--4|30\%|H|VII|1275\+10/hp
dragon_blue_small|Blue Dragon||Dragon|12|2|9"/24"|8|3|1--6\?1--6\?3--24|2\x1--6\?3--24|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (42' long)|Very|Lawful Evil|Nil|Nil|Rare|1--4|50\%|H, S|VII|1275\+10/hp
dragon_blue_average|Blue Dragon||Dragon|12|2|9"/24"|9|3|1--6\?1--6\?3--24|2\x1--6\?3--24|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (42' long)|Very|Lawful Evil|Nil|Nil|Rare|1--4|50\%|H, S|VII|2000\+12/hp
dragon_blue_huge|Blue Dragon||Dragon|10|2|9"/24"|10|3|1--6\?1--6\?3--24|2\x1--6\?3--24|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (42' long)|Very|Lawful Evil|Nil|Nil|Rare|1--4|50\%|H, S|VII|3000\+14/hp
dragon_brass_small|Brass Dragon||Dragon|13|2|12"/24"|6|3|1--4\?1--4\?4--16|2\x1--4\?4--16|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (30' long)|High|Chaotic Good|Nil|Nil|Uncommon|1--4|25\%|H|VI|625\+6/hp
dragon_brass_average|Brass Dragon||Dragon|13|2|12"/24"|7|3|1--4\?1--4\?4--16|2\x1--4\?4--16|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (30' long)|High|Chaotic Good|Nil|Nil|Uncommon|1--4|25\%|H|VI|950\+8/hp
dragon_brass_huge|Brass Dragon||Dragon|12|2|12"/24"|8|3|1--4\?1--4\?4--16|2\x1--4\?4--16|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (30' long)|High|Chaotic Good|Nil|Nil|Uncommon|1--4|25\%|H|VII|1450\+10/hp
dragon_bronze_small|Bronze Dragon||Dragon|12|0|9"/24"|8|3|1--6\?1--6\?4--24|2\x1--6\?4--24|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (42' long)|Exceptional|Lawful Good|Nil|Nil|Rare|1--4|45\%|H, S, T|VII|1625\+10/hp
dragon_bronze_average|Bronze Dragon||Dragon|12|0|9"/24"|9|3|1--6\?1--6\?4--24|2\x1--6\?4--24|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (42' long)|Exceptional|Lawful Good|Nil|Nil|Rare|1--4|45\%|H, S, T|VII|2600\+12/hp
dragon_bronze_huge|Bronze Dragon||Dragon|10|0|9"/24"|10|3|1--6\?1--6\?4--24|2\x1--6\?4--24|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (42' long)|Exceptional|Lawful Good|Nil|Nil|Rare|1--4|45\%|H, S, T|VIII|3900\+14/hp
dragon_chromatic|Chromatic Dragon||Dragon|7|0|6"/18"|16|6|2--16\?3--18\?2--10\?3--24\?3--30\?1--6|2--16\?3--18\?2--20\?3--24\?3--30\?1--6|Poison sting, breath weapon, magic use|Nil|Standard|Poison sting, breath weapon, magic use|L (60' long)|Genius|Lawful Evil|Nil|Nil|Very rare|1|90\%|H, S, T, U|X|61020\+20/hp
dragon_copper_small|Copper Dragon||Dragon|13|1|9"/24"|7|3|1--4\?1--4\?5--20|2\x1--4\?5--20|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (36' long)|High|Chaotic Good|Nil|Nil|Uncommon|1--4|35\%|H, S|VI|950\+8/hp
dragon_copper_average|Copper Dragon||Dragon|12|1|9"/24"|8|3|1--4\?1--4\?5--20|2\x1--4\?5--20|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (36' long)|High|Chaotic Good|Nil|Nil|Uncommon|1--4|35\%|H, S|VII|1450\+10/hp
dragon_copper_huge|Copper Dragon||Dragon|12|1|9"/24"|9|3|1--4\?1--4\?5--20|2\x1--4\?5--20|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (36' long)|High|Chaotic Good|Nil|Nil|Uncommon|1--4|35\%|H, S|VII|2300\+12/hp
dragon_gold_small|Gold Dragon||Dragon|10|-2|12"/30"|10|3|1--8\?1--8\?3--36|2\x1--8\?3--36|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (54' long)|Genius|Lawful Good|Nil|Nil|Very rare|1--3|65\%|H, R, S, T|VIII|4500\+14/hp
dragon_gold_average|Gold Dragon||Dragon|10|-2|12"/30"|11|3|1--8\?1--8\?3--36|2\x1--8\?3--36|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (54' long)|Genius|Lawful Good|Nil|Nil|Very rare|1--3|65\%|H, R, S, T|IX|6650\+16/hp
dragon_gold_huge|Gold Dragon||Dragon|9|-2|12"/30"|12|3|1--8\?1--8\?3--36|2\x1--8\?3--36|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (54' long)|Genius|Lawful Good|Nil|Nil|Very rare|1--3|65\%|H, R, S, T|IX|6650\+16/hp
dragon_green_small|Green Dragon||Dragon|13|2|9"/24"|7|3|1--6\?1--6\?2--20|2\x1--6\?2--20|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (36' long)|Average-very|Lawful Evil|Nil|Nil|Rare|1--4|40\%|H|VI|825\+8/hp
dragon_green_average|Green Dragon||Dragon|12|2|9"/24"|8|3|1--6\?1--6\?2--20|2\x1--6\?2--20|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (36' long)|Average-very|Lawful Evil|Nil|Nil|Rare|1--4|40\%|H|VII|1275\+10/hp
dragon_green_huge|Green Dragon||Dragon|12|2|9"/24"|9|3|1--6\?1--6\?2--20|2\x1--6\?2--20|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (36' long)|Average-very|Lawful Evil|Nil|Nil|Rare|1--4|40\%|H|VII|2000\+12/hp
dragon_platinum|Platinum Dragon||Dragon|7|-3|9"/30"|21|3|2--12\?2--12\?6--48|2\x2--12\?6--48|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (72' long)|Supra-genius|Lawful Good|Nil|Nil|Very rare|1|75\%|H, I, R, S, T, V|X|52200\+35/hp
dragon_red_small|Red Dragon||Dragon|12|-1|9"/24"|9|3|1--8\?1--8\?3--30|2\x1--8\?3--30|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (48' long)|Exceptional|Chaotic Evil|Nil|Nil|Rare|1--4|60\%|H, S, T|VII|3000\+12/hp
dragon_red_average|Red Dragon||Dragon|10|-1|9"/24"|10|3|1--8\?1--8\?3--30|2\x1--8\?3--30|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (48' long)|Exceptional|Chaotic Evil|Nil|Nil|Rare|1--4|60\%|H, S, T|VIII|4500\+14/hp
dragon_red_huge|Red Dragon||Dragon|10|-1|9"/24"|11|3|1--8\?1--8\?3--30|2\x1--8\?3--30|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (48' long)|Exceptional|Chaotic Evil|Nil|Nil|Rare|1--4|60\%|H, S, T|IX|6650\+16/hp
dragon_silver_small|Silver Dragon||Dragon|12|-1|9"/24"|9|3|1--6\?1--6\?5--30|2\x1--6\?5--30|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (48' long)|Exceptional|Lawful Good|Nil|Nil|Very rare|1--4|55\%|H, T|VII|3000\+12/hp
dragon_silver_average|Silver Dragon||Dragon|10|-1|9"/24"|10|3|1--6\?1--6\?5--30|2\x1--6\?5--30|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (48' long)|Exceptional|Lawful Good|Nil|Nil|Very rare|1--4|55\%|H, T|VIII|4500\+14/hp
dragon_silver_huge|Silver Dragon||Dragon|10|-1|9"/24"|11|3|1--6\?1--6\?5--30|2\x1--6\?5--30|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (48' long)|Exceptional|Lawful Good|Nil|Nil|Very rare|1--4|55\%|H, T|IX|6650\+16/hp
dragon_white_small|White Dragon||Dragon|15|3|12"/30"|5|3|1--4\?1--4\?2--16|2\x1--4\?2--16|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (24' long)|Average-low|Chaotic Evil|Nil|Nil|Uncommon|1--4|20\%|E, O, S|V|320\+5/hp
dragon_white_average|White Dragon||Dragon|13|3|12"/30"|6|3|1--4\?1--4\?2--16|2\x1--4\?2--16|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (24' long)|Average-low|Chaotic Evil|Nil|Nil|Uncommon|1--4|20\%|E, O, S|VI|550\+6/hp
dragon_white_huge|White Dragon||Dragon|13|3|12"/30"|7|3|1--4\?1--4\?2--16|2\x1--4\?2--16|Breath weapon, magic use|Nil|Standard|Breath weapon, magic use|L (24' long)|Average-low|Chaotic Evil|Nil|Nil|Uncommon|1--4|20\%|E, O, S|VI|825\+8/hp
dragonne|Dragonne|||12|6\,(2)|15"/9"|9|3|1--8\?1--8\?3--18|2\x1--8\?3--18|Roar|Nil|Standard|Roar|L (5' at shoulder)|Low|Neutral|Nil|Nil|Very rare|1|40\%|B, S, T|VII|1400\+14/hp
dragon_turtle_small|Dragon Turtle|||9|0|3"//9"|12|3|2--12\?2--12\?4--32|2\x2--12\?4--32|Breath weapon, capsizing|Nil|Standard|Breath weapon, capsizing|L (up to 30' dia.)|Very|Neutral|Nil|Nil|Very rare|1|5\%|B, R, S, T, V|VIII|5250\+16/hp
dragon_turtle_average|Dragon Turtle|||9|0|3"//9"|13|3|2--12\?2--12\?4--32|2\x2--12\?4--32|Breath weapon, capsizing|Nil|Standard|Breath weapon, capsizing|L (up to 30' dia.)|Very|Neutral|Nil|Nil|Very rare|1|5\%|B, R, S, T, V|IX|7300\+18/hp
dragon_turtle_huge|Dragon Turtle|||8|0|3"//9"|14|3|2--12\?2--12\?4--32|2\x2--12\?4--32|Breath weapon, capsizing|Nil|Standard|Breath weapon, capsizing|L (up to 30' dia.)|Very|Neutral|Nil|Nil|Very rare|1|5\%|B, R, S, T, V|IX|7300\+18/hp
dryad|Dryad|||16|9|12"|2|1|Dagger|Dagger|Charm|Magic use|50\%|Charm, magic use|M|High|Neutral|Nil|Nil|Very rare|1--6|10\%|M (\x100), Q (\x10)|III|105\+3/hp
dwarf|Dwarf|Dwarves||19|4|6"|1|1|1--8 or by weapon|1--8|+1 against orcs, goblins, hobgoblins|ogres, trolls, giants -4 to hit; save magic\?poison at 4 levels higher|Special|+1 against orcs, goblins, hobgoblins; ogres, trolls, giants -4 to hit; save magic\?poison at 4 levels higher|S (4'+ tall)|Very|Lawful Good|Nil*|Nil*|Common|40--400|50\%|Individuals M (\x5); G, Q, (\x20), R|III|53\+1/hp
dwarf_mountain|Mountain Dwarf|Mountain Dwarves||18|4|6"|1+1|1|1--8 or by weapon|1--8|+1 against orcs, goblins, hobgoblins|ogres, trolls, giants -4 to hit; save magic\?poison at 4 levels higher|Special|+1 against orcs, goblins, hobgoblins; ogres, trolls, giants -4 to hit; save magic\?poison at 4 levels higher|S (4\half'+ tall)|Very|Lawful Good|Nil*|Nil*|Common|40--400|50\%|Individuals M (\x5); G, Q, (\x20), R|III|118\+2/hp
eagle_giant|Giant Eagle|||20|7|3"/48"|4|3|1--6\?1--6\?2--12|1--6\?1--6\?2--12|Diving (+4 to hit, 2\x2--12)|Eyesight|Standard|Diving (+4 to hit, 2\x2--12); eyesight|M (20' wing spread)|Average|Neutral|Nil|Nil|Rare|1--20|20\%|Q, C (magic only)|III|150\+4/hp
ear_seaker|Ear Seeker|||20|9|1"|\sfrac{1}{8}|1|Lay eggs in ear|special|Nil|Nil|Standard|Nil|S (about \half" long)|Non|Neutral|Nil|Nil|Very rare|1--4|90\%|Nil|Nil|Nil
eel_electric|Electric Eel||Eel|16|9|12"|2|1|1--3|1--3|Jolt (1, 2, or 3D8)|Nil|Standard|Jolt (1, 2, or 3D8)|M (9' long)|Non|Neutral|Nil|Nil|Rare|1--3|Nil|Nil|III|65\+2/hp
eel_giant|Giant Eel||Eel|15|6|9"|5|1|3--18|3--18|Nil|Nil|Standard|Nil|M (20' long)|Non|Neutral|Nil|Nil|Uncommon|1--4|Nil|Nil|II|49\+1/hp
eel_weed|Weed Eel||Eel|20|8|15"|1-1|1|1|1|Poison|Camouflage|Standard|Poison|S (6' long)|Non|Neutral|Nil|Nil|Very rare|10--60|100\%|O, P, R|III|150\+6/hp
efreeti|Efreeti|Efreet||10|2|9"//24"|10|1|3--24|3--24|Magic use|Resist fire damage|Standard|Magic use|L (12' tall)|Very|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|1950\+14/hp
elemental_air|Air Elemental||Elemental|12/9/7|2|36"|8/12/16|1|2--20|2--20|Whirlwind|Hit only by +2 weapons|Standard|Whirlwind; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+15/hp
elemental_air_8hd|Air Elemental||Elemental|12|2|36"|8|1|2--20|2--20|Whirlwind|Hit only by +2 weapons|Standard|Whirlwind; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VI|825\+10/hp
elemental_air_12hd|Air Elemental||Elemental|9|2|36"|12|1|2--20|2--20|Whirlwind|Hit only by +2 weapons|Standard|Whirlwind; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+14/hp
elemental_air_16hd|Air Elemental||Elemental|7|2|36"|16|1|2--20|2--20|Whirlwind|Hit only by +2 weapons|Standard|Whirlwind; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VIII|5250\+20/hp
elemental_earth|Earth Elemental||Elemental|12/9/7|2|6"|8/12/16|1|4--32|4--32|Full damage on land|Hit only by +2 weapons|Standard|Full damage on land; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+15/hp
elemental_earth_8hd|Earth Elemental||Elemental|12|2|6"|8|1|4--32|4--32|Full damage on land|Hit only by +2 weapons|Standard|Full damage on land; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VI|825\+10/hp
elemental_earth_12hd|Earth Elemental||Elemental|9|2|6"|12|1|4--32|4--32|Full damage on land|Hit only by +2 weapons|Standard|Full damage on land; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+14/hp
elemental_earth_16hd|Earth Elemental||Elemental|7|2|6"|16|1|4--32|4--32|Full damage on land|Hit only by +2 weapons|Standard|Full damage on land; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VIII|5250\+20/hp
elemental_fire|Fire Elemental||Elemental|12/9/7|2|12"|8/12/16|1|3--24|3--24|Burn inflammables|Hit only by +2 weapons|Standard|Burn inflammables; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+15/hp
elemental_fire_8hd|Fire Elemental||Elemental|12|2|12"|8|1|3--24|3--24|Burn inflammables|Hit only by +2 weapons|Standard|Burn inflammables; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VI|825\+10/hp
elemental_fire_12hd|Fire Elemental||Elemental|9|2|12"|12|1|3--24|3--24|Burn inflammables|Hit only by +2 weapons|Standard|Burn inflammables; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+14/hp
elemental_fire_16hd|Fire Elemental||Elemental|7|2|12"|16|1|3--24|3--24|Burn inflammables|Hit only by +2 weapons|Standard|Burn inflammables; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VIII|5250\+20/hp
elemental_water|Water Elemental||Elemental|12/9/7|2|6"//18"|8/12/16|1|5--30|5--30|Affect seacraft|Hit only by +2 weapons|Standard|Affect seacraft; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+15/hp
elemental_water_8hd|Water Elemental||Elemental|12|2|6"//18"|8|1|5--30|5--30|Affect seacraft|Hit only by +2 weapons|Standard|Affect seacraft; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VI|825\+10/hp
elemental_water_12hd|Water Elemental||Elemental|9|2|6"//18"|12|1|5--30|5--30|Affect seacraft|Hit only by +2 weapons|Standard|Affect seacraft; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VII|2850\+14/hp
elemental_water_16hd|Water Elemental||Elemental|7|2|6"//18"|16|1|5--30|5--30|Affect seacraft|Hit only by +2 weapons|Standard|Affect seacraft; Hit only by +2 weapons|L|Low|Neutral|Nil|Nil|Very rare|1|Nil|Nil|VIII|5250\+20/hp
elephant|Elephant||Elephant|10|6|12"|10|5|5\x2--12|5\x2--12|Nil|Nil|Standard|Nil|L (9'+ tall)|Semi-|Neutral|Nil|Nil|Common|1--20|Nil|Nil|VII|1500\+14/hp
elephant_asiatic|Asiatic Elephant||Elephant|10|6|12"|10|5|5\x2-12|5\x2--12|Nil|Nil|Standard|Nil|L (9'+ tall)|Semi-|Neutral|Nil|Nil|Common|1--20|Nil|Nil|VII|1500\+14/hp
elephant_african|African Elephant||Elephant|10|6|15"|11|5|2\x2--16\?3\x2--12|2\x2--16\?3\x2--12|Nil|Nil|Standard|Nil|L (11'+ tall)|Semi-|Neutral|Nil|Nil|Common|1--12|Nil|Nil|VII|2125\+16/hp
loxodont|Loxodont||Elephant|10|6|15"|11|5|2\x2--16\?3\x2--12|2\x2--16\?3\x2--12|Nil|Nil|Standard|Nil|L (11'+ tall)|Semi-|Neutral|Nil|Nil|Common|1--12|Nil|Nil|VII|2125\+16/hp
elf|Elf|Elves||18|5|12"|1+1|1|1--10 or by weapon|1--10|+1 to hit with bow or sword, surprise \sfrac{2}{3}|90\% resistance to charm and sleep|Special|+1 to hit with bow or sword, surprise \sfrac{2}{3}; 90\% resistance to charm and sleep|M (5'+ tall)|High|Chaotic Good|Nil|Nil|Uncommon|20--200|10\%|Individuals N; G, S, T in lair|II|44\+2/hp
ettin|Ettin|||10|3|12"|10|2|2--16\?3--18|2--16\?3--18|Nil|Surprised only on a 1|Standard|Surprised only on a 1|L (13'+ tall)|Low|Chaotic Evil|Nil|Nil|Very rare|1--4|20\%|Individuals O; C, Y in lair|VII|1950\+14/hp
eye_floating|Floating Eye|||20|9|30"|\sfrac{1}{2}|Nil|Nil|Nil|Hypnotism|Nil|Standard|Hypnotism|S (1' long)|Non|Neutral|Nil|Nil|Rare|1--12|Nil|Nil|II|30\+1/hp
eye_of_the_deep|Eye of the Deep|Eyes of the Deep||10/9|5|6"|10--12|3|2--8\?2--8\?1--6|2\x2--8\?1--6|Stunning, magic use|Nil|Standard|Stunning, magic use|L (3'--5' dia.)|Very|Lawful Evil|Nil|Nil|Very rare|1|20\%|R|VIII|3700\+16/hp
eye_of_the_deep_10hd|Eye of the Deep|Eyes of the Deep||10|5|6"|10|3|2--8\?2--8\?1--6|2\x2--8\?1--6|Stunning, magic use|Nil|Standard|Stunning, magic use|L (3' dia.)|Very|Lawful Evil|Nil|Nil|Very rare|1|20\%|R|VII|2550\+14/hp
eye_of_the_deep_11hd|Eye of the Deep|Eyes of the Deep||10|5|6"|11|3|2--8\?2--8\?1--6|2\x2--8\?1--6|Stunning, magic use|Nil|Standard|Stunning, magic use|L (4' dia.)|Very|Lawful Evil|Nil|Nil|Very rare|1|20\%|R|VIII|3700\+16/hp
eye_of_the_deep_12hd|Eye of the Deep|Eyes of the Deep||9|5|6"|12|3|2--8\?2--8\?1--6|2\x2--8\?1--6|Stunning, magic use|Nil|Standard|Stunning, magic use|L (5' dia.)|Very|Lawful Evil|Nil|Nil|Very rare|1|20\%|R|VIII|3700\+16/hp
gnoll|Gnoll|||16|5|9"|2|1|2--8 or by weapon|2--8|Nil|Nil|Standard||L (7'+ tall)|Low--Average|Chaotic Evil|Nil|Nil|Uncommon|20--200|20\%|Individuals L, M; D, Q (\x5), S in lair|II|28\+2/hp
